Date,SecurityCode,SecurityName,LTP,52WeekHigh,Prev52WHighPrice,Prev52WHighDate,AllTimeHighPrice,AllTimeHighDate
2026-09-22,543973,HDFCLIQUID,1078.92,1078.92,1078.2,17 Sep 2026,1078.92,22 Sep 2026
2026-09-22,544741,HIGHNESS,223.85,223.85,223.25,10 Sep 2026,223.85,22 Sep 2026
2026-09-22,526717,HPBL,385.95,403.6,397.0,21 Sep 2026,1286.95,19 Oct 2021
2026-09-22,543916,HSIL,586.8,594.0,498.0,21 Sep 2026,594.0,22 Sep 2026
2026-09-22,532907,IL&FSENGG,42.0,44.46,42.43,21 Sep 2026,1144.25,19 Nov 2007
2026-09-22,532614,IMPEXFERRO,5.65,5.65,5.54,21 Sep 2026,48.4,09 Feb 2005
2026-09-22,544837,INDOMIM,1231.7,1248.0,1163.6,21 Sep 2026,1248.0,22 Sep 2026
2026-09-22,500207,INDORAMA,103.57,112.31,109.3,21 Sep 2026,175.0,30 Mar 1992
2026-09-22,532305,INDSWFTLAB,405.9,417.0,403.0,09 Sep 2026,417.0,22 Sep 2026
2026-09-22,544567,INFINITY,550.0,550.0,545.0,16 Sep 2026,550.0,22 Sep 2026
2026-09-22,544067,INNOVACAP,1222.95,1239.95,1230.35,15 Sep 2026,1259.0,08 Jan 2025
2026-09-22,524494,IPCALAB,1992.2,2039.3,2039.15,18 Sep 2026,2767.1,15 Sep 2021
2026-09-22,507580,IVP,229.4,231.9,225.15,10 Sep 2026,350.0,13 Apr 1992
2026-09-22,543860,JAFINANCE,141.95,145.85,143.99,13 Feb 2026,178.55,19 May 2025
2026-09-22,505212,JAINEX,198.0,198.0,193.74,18 Nov 2025,286.0,20 Dec 2024
2026-09-22,544402,JASH,585.45,600.55,597.05,21 Sep 2026,647.45,22 Jul 2025
2026-09-22,539225,JIYAECO,12.95,12.95,12.34,17 Sep 2026,158.0,30 May 2018
2026-09-22,543994,JSWINFRA,367.85,375.25,356.4,18 Sep 2026,375.25,22 Sep 2026
