SecurityCode,SecurityName,TotalAppearances,FirstSeenDate,LastSeenDate,DaysSinceFirstSeen,NewToday,LatestLTP,Latest52WHigh
532922,EDELWEISS,1,2026-09-22,2026-09-22,0,Yes,141.2,144.25
532989,BAFNAPH,1,2026-09-22,2026-09-22,0,Yes,335.5,335.5
533252,WELINV,1,2026-09-22,2026-09-22,0,Yes,2244.0,2244.0
533260,CPCAP,1,2026-09-22,2026-09-22,0,Yes,151.5,160.0
534369,TBZ,1,2026-09-22,2026-09-22,0,Yes,664.65,664.65
538521,YAANENT,1,2026-09-22,2026-09-22,0,Yes,134.4,143.95
538787,GBFL,1,2026-09-22,2026-09-22,0,Yes,12.47,14.56
538868,CSL,1,2026-09-22,2026-09-22,0,Yes,23.8,24.85
538992,SAPL,1,2026-09-22,2026-09-22,0,Yes,7047.75,7118.75
539200,NOBPOL,1,2026-09-22,2026-09-22,0,Yes,15.36,15.36
539225,JIYAECO,1,2026-09-22,2026-09-22,0,Yes,12.95,12.95
539515,QUINT,1,2026-09-22,2026-09-22,0,Yes,80.34,80.34
539546,AGRIBIO,1,2026-09-22,2026-09-22,0,Yes,316.0,343.0
539956,TAALTECH,1,2026-09-22,2026-09-22,0,Yes,1188.7,1237.4
540065,RBLBANK,1,2026-09-22,2026-09-22,0,Yes,422.95,424.15
540222,LAURUSLABS,1,2026-09-22,2026-09-22,0,Yes,2005.1,2032.5
540269,SKL,1,2026-09-22,2026-09-22,0,Yes,12.6,12.6
540310,CFL,1,2026-09-22,2026-09-22,0,Yes,91.62,95.31
541578,VARROC,1,2026-09-22,2026-09-22,0,Yes,866.8,910.45
541799,SMEL,1,2026-09-22,2026-09-22,0,Yes,24.36,24.36
542678,CHCL,1,2026-09-22,2026-09-22,0,Yes,20.72,20.72
542850,GOBLIN,1,2026-09-22,2026-09-22,0,Yes,16.33,17.99
542934,CBPL,1,2026-09-22,2026-09-22,0,Yes,49.45,52.99
543083,09MPD,1,2026-09-22,2026-09-22,0,Yes,5.5,5.5
543172,COSPOWER,1,2026-09-22,2026-09-22,0,Yes,3100.0,3102.4
543299,SHYAMMETL,1,2026-09-22,2026-09-22,0,Yes,1091.65,1119.85
